id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_hlddq_r,水泥混凝土桥面调平层（C50）,415-1,bridge,m3,419.298,,starter_from_design=351-import-v1; target_quantity=419.298
,wa_hlddq_r,GBZJ 250×300×52mm,416-1-1,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GBZJ 250×250×41mm,416-1-2,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)1.5 SX,416-2-1,bridge,个,26.0,,starter_from_design=351-import-v1; target_quantity=26.0
,wa_hlddq_r,GPZ(2019)1.5 DX,416-2-2,bridge,个,8.0,,starter_from_design=351-import-v1; target_quantity=8.0
,wa_hlddq_r,GPZ(2019)2.5 SX,416-2-3,bridge,个,26.0,,starter_from_design=351-import-v1; target_quantity=26.0
,wa_hlddq_r,GPZ(2019)2.5 DX,416-2-4,bridge,个,21.0,,starter_from_design=351-import-v1; target_quantity=21.0
,wa_hlddq_r,GPZ(2019)2.5 GD,416-2-5,bridge,个,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_hlddq_r,GPZ(2019)2.0 SX,416-2-6,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)2.0 DX,416-2-7,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)3.5 SX,416-2-8,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)3.5 DX,416-2-9,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)3.5 GD,416-2-10,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,40型,417-5-1,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,60型,417-5-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,80型,417-5-3,bridge,m,37.14,,starter_from_design=351-import-v1; target_quantity=37.14
,wa_hlddq_r,160型,417-5-5,bridge,m,18.57,,starter_from_design=351-import-v1; target_quantity=18.57
,wa_hlddq_r,DN160,418-1-1,bridge,m,391.6,,starter_from_design=351-import-v1; target_quantity=391.6
,wa_hlddq_r,DN200,418-1-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,桥面边部碎石盲沟,418-2,bridge,m3,21.599999999999998,,starter_from_design=351-import-v1; target_quantity=21.599999999999998
,wa_hlddq_r,泄水管,418-3,bridge,套,48.0,,starter_from_design=351-import-v1; target_quantity=48.0
